Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,latitude,longitude
Soldeu-Pas de la Casa/​Grau Roig/​El Tarter/​Canillo/​Encamp (Grandvalira),Andorra,2640,1710,47,100,77,33,210,Yes,Yes,37,28,7,72,99017,1032,42.58,1.67
Pal-​Arinsal-La Massana-Vallnord-,Andorra,1550,1230,37,31,24,8,63,Yes,No,15,12,4,31,37400,296,42.34,1.29
Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp,Andorra,2640,1710,47,100,77,33,210,Yes,Yes,37,28,7,72,99017,1032,42.3232,1.4401
El Tarter – Pas de la Casa/​Grau Roig/​Soldeu/​Canillo/​Encamp (Grandvalira),Andorra,2640,1710,47,100,77,33,210,Yes,Yes,37,28,7,72,99017,1032,42.58,1.67
Arcalís-Ordino (Vallnord),Andorra,2625,1940,37,13,14,3,30,Yes,No,10,4,1,15,14240,106,42.3755,1.2958
