Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,latitude,longitude
Dry slopes Dayz Søhøjlandets Skicenter,Denmark,100,80,36,0,0,0,0,no report,No,0,0,0,0,0,0,56.1636,9.7076
Indoor ski area Skidome Denmark – Randers (planned),Denmark,120,10,0,1,1,1,3,no report,No,0,0,0,0,0,0,56.4604,10.0363
Dry slopes Indoorski – Rødovre,Denmark,53,50,0,0,0,0,0,no report,No,0,0,0,0,0,0,55.4053,12.2718
Dry slopes Ski Arena – Aarhus,Denmark,23,20,0,0,0,0,0,no report,No,0,0,0,0,0,0,56.1174,10.1193
Copenhagen (planned),Denmark,0,0,0,0,0,0,0,no report,No,0,0,0,0,0,0,55.4034,12.3406
Østerlars (Bornholm),Denmark,110,72,18,0,0,0,0,no report,No,0,0,0,0,1220,0,55.0953,14.5741
Hoch Hylkedal – Kolding,Denmark,45,20,15,0,0,0,0,no report,No,0,0,0,0,600,0,55.4959,9.473
Hedelands Skicenter,Denmark,78,33,17,0,0,0,0,no report,No,0,0,0,0,1600,4,55.6271,12.1756
