Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,latitude,longitude
Trysil,Norway,1100,415,46,33,18,20,71,Yes,Yes,29,7,0,36,36182,418,61.1836,12.1854
Oppdal,Norway,1300,585,44,40,7,9,56,No,No,1,0,0,1,0,0,62.34,9.36
Myrkdalen,Norway,1060,450,44,13,12,4,30,Yes,Yes,2,4,3,9,10279,32,60.8421,6.4654
Gålå,Norway,1148,800,43,13,5,1,19,Yes,Yes,7,1,0,8,7600,50,61.5057,9.7848
Kvitfjell,Norway,1039,185,45,19,10,5,34,Yes,Yes,14,2,0,16,17952,90,61.45,10.12
Hafjell,Norway,1030,195,45,33,7,4,44,Yes,Yes,14,3,1,18,21060,150,61.1432,10.2631
Voss,Norway,960,284,43,25,4,11,40,Yes,No,7,4,0,11,11900,40,60.4209,6.2523
Geilosiden Geilo,Norway,1178,800,44,18,12,4,34,Yes,Yes,18,6,0,24,14225,100,60.57,8.23
Fonna Glacier,Norway,1460,1200,42,2,2,0,5,Yes,No,1,0,0,1,1200,0,60.0,6.2
Hemsedal,Norway,1450,620,46,29,10,4,44,Yes,Yes,15,6,0,21,22921,325,60.5421,8.3053
