Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,latitude,longitude
Sinaia,Romania,880,834,32,3,11,4,20,No,No,2,3,4,9,9864,0,45.2829,25.335
Poiana Brașov,Romania,1799,1021,32,5,2,5,13,No,Yes,5,2,3,10,11038,145,45.355,25.3307
