Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,latitude,longitude
Vitosha-Sofia,Bulgaria,2290,726,18,12,6,2,20,No,Yes,8,5,2,15,12450,0,42.6367,23.2438
Borovets,Bulgaria,2560,1300,28,24,29,5,58,Yes,Yes,8,4,2,14,15800,160,42.7,23.0
Pamporovo,Bulgaria,1926,1620,28,17,6,5,29,Yes,Yes,6,7,0,13,14266,130,41.6567,24.6953
Bansko,Bulgaria,2560,990,30,20,24,3,48,Yes,Yes,7,8,2,17,24233,380,41.8404,23.4856
