Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
Glenshee,United Kingdom,900,650,33,24,10,2,36,No,No,18,3,0,21,16255,6
Glencoe Mountain,United Kingdom,1070,360,35,7,10,7,24,No,No,6,2,0,8,5800,0
The Lecht,United Kingdom,775,637,33,5,9,4,18,Yes,Yes,12,1,0,13,9750,0
Nevis Range,United Kingdom,655,91,36,7,10,3,20,No,No,8,3,1,12,10350,0
