Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
Špindlerův Mlýn,Czech Republic,1235,702,34,8,13,2,24,Yes,Yes,17,6,0,23,21638,0
Špičák,Czech Republic,1202,854,23,3,3,0,8,Yes,Yes,11,1,0,12,7390,30
